dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.214058,18.546301,0.003606,0.144231,2.884615,57.692308,6.283006
0.050000,5.222287,18.546302,0.011835,0.164575,0.406886,-49.554584,0.000280
0.050000,5.253488,18.546327,0.043036,0.624033,9.189152,175.645311,0.001315
0.050000,5.308955,18.546451,0.098503,1.109335,9.706044,10.337850,0.003157
0.050000,5.395614,18.546850,0.185163,1.733196,12.477223,55.423577,0.006040
0.050000,5.520385,18.547863,0.309938,2.495504,15.246156,55.378658,0.010205
0.050000,5.690175,18.550079,0.479743,3.396098,18.011882,55.314513,0.015897
0.050000,5.911871,18.554431,0.701481,4.434761,20.773271,55.227796,0.023370
0.050000,6.188859,18.562207,0.978579,5.541956,22.143883,27.412236,0.032774
0.050000,6.521024,18.574986,1.310989,6.648215,22.125179,-0.374082,0.044146
0.050000,6.908194,18.594682,1.698660,7.753414,22.103981,-0.423954,0.057530
0.050000,7.350126,18.623554,2.141534,8.857477,22.081276,-0.454101,0.072973
0.050000,7.846483,18.664212,2.639553,9.960387,22.058194,-0.461640,0.090522
0.050000,8.393375,18.719247,3.189207,10.993071,20.653683,-28.090235,0.110099
0.050000,8.983380,18.790853,3.783542,11.886704,17.872648,-55.620691,0.131488
0.050000,9.609020,18.880906,4.415629,12.641744,15.100809,-55.436784,0.154458
0.050000,10.262777,18.990834,5.078564,13.258689,12.338893,-55.238322,0.178753
0.050000,10.937132,19.121515,5.765465,13.738026,9.586749,-55.042877,0.204101
0.050000,11.624609,19.273190,6.469475,14.080192,6.843306,-54.868850,0.230209
0.050000,12.317817,19.445393,7.183751,14.285523,4.106624,-54.733643,0.256772
0.050000,13.009502,19.636916,7.901462,14.354230,1.374144,-54.649609,0.283476
0.050000,13.695886,19.846843,8.619231,14.355383,0.023059,-27.021703,0.310132
0.050000,14.275287,20.060574,9.236796,12.351286,-40.081942,-802.100020,0.411436
0.050000,14.873274,20.350455,9.901341,13.290906,18.792404,1177.486922,0.482045
0.050000,15.498233,20.692216,10.613643,14.246033,19.102541,6.202755,0.513221
0.050000,16.147724,21.061249,11.360653,14.940207,13.883471,-104.381412,0.515695
0.050000,16.830847,21.439235,12.141378,15.614494,13.485743,-7.954567,0.490251
0.050000,17.568111,21.807015,12.965283,16.478097,17.272073,75.726612,0.428432
0.050000,18.398304,22.131913,13.856787,17.830081,27.039670,195.351946,0.306237
0.050000,19.397588,22.330866,14.875684,20.377950,50.957380,478.354200,0.067004
0.050000,20.609312,22.162118,16.099102,24.468355,81.808094,617.014271,5.919740
0.050000,21.632532,21.456604,17.341973,24.857417,7.781239,-1480.537104,5.449497
0.050000,22.182735,20.623881,18.340047,19.961481,-97.918720,-2113.999173,5.160668
0.050000,22.468338,19.875720,19.140867,16.016414,-78.901324,380.347917,5.003366
0.050000,22.630214,19.219938,19.816333,13.509317,-50.141954,575.187402,4.910398
0.050000,22.726666,18.647361,20.396977,11.612876,-37.928806,244.262953,4.850724
0.050000,22.785184,18.150725,20.897048,10.001425,-32.229034,113.995436,4.810030
0.050000,22.820587,17.723990,21.325250,8.564031,-28.747882,69.623043,4.781088
0.050000,22.841492,17.363607,21.686238,7.219772,-26.885181,37.254033,4.760028
0.050000,22.853290,17.067371,21.982709,5.929419,-25.807048,21.562645,4.744621
0.050000,22.859519,16.833170,22.216993,4.685668,-24.875028,18.640402,4.733482
0.050000,22.862557,16.655582,22.394607,3.552285,-22.667645,44.147658,4.725580
0.050000,22.863904,16.526456,22.523740,2.582658,-19.392543,65.502047,4.720105
0.050000,22.864426,16.437885,22.612312,1.771445,-16.224260,63.365667,4.716473
0.050000,22.864591,16.382134,22.668064,1.115042,-13.128063,61.923926,4.714236
0.050000,22.864629,16.351534,22.698664,0.611996,-10.060930,61.342668,4.713024
0.050000,22.864634,16.338473,22.711725,0.261221,-7.015492,60.908751,4.712510
0.050000,22.864635,16.335379,22.714819,0.061877,-3.986875,60.572358,4.712389
0.050000,22.864635,16.335379,22.714819,0.000000,-1.237545,54.986590,4.712389
